maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
1637,"Hammig, Wilhelm Hermann",Cello Bow,Leipzig,Tarisio,2011-11-11,8,2040.0,1280.0,1495.0,usd,24620,,,0,1.0,76.5,,,,0,1.0,76.5,,
1637,"Hammig, Wilhelm Hermann",Violin Bow,Markneukirchen,Tarisio,2007-07-25,29,69.0,34.0,50.0,usd,11828,,,1,1.0,57.5,,,,1,1.0,57.5,,
1730,"Harding, Ronald",Viola Bow,,Tarisio,2019-11-08,48,3300.0,2574.0,2992.0,usd,87496,,,0,1.25,75.0,octagonal,,,0,1.25,75.0,octagonal,
2212,"Harmand, Joseph",Cello Bow,,,2023-03-07,,4472.0,3733.0,4200.0,eur,106032,69.7,71.6,1,0.0,83.5,round,69.7,71.6,1,0.0,83.5,round,
261,"Harmand, Nicolas Joseph",Violin Bow,,,2023-03-07,,4398.0,3671.0,4130.0,eur,106033,71.4,72.7,0,0.15,59.0,octagonal,71.4,72.7,0,0.15,59.0,octagonal,
261,"Harmand, Nicolas Joseph",Violin Bow,Mirecourt,Tarisio,2000-05-19,FB 3,9350.0,6294.0,10535.0,usd,1148,,,0,0.1,53.0,,,,0,0.1,53.0,,
1132,"Henderson, Frank Vernon",Viola Bow,,Tarisio,2011-12-16,60,1020.0,656.0,781.0,usd,24812,,,0,2.2,65.5,,,,0,2.2,65.5,,
272,"Henry, Joseph",Cello Bow,Paris,,2025-11-07,,57000.0,43441.0,49304.0,usd,128269,69.8,71.6,0,2.0,78.5,round,69.8,71.6,0,2.0,78.5,round,
272,"Henry, Joseph",Cello Bow,,,2024-11-15,,66000.0,52046.0,62364.0,usd,122295,69.0,70.7,1,1.0,78.0,round,69.0,70.7,1,1.0,78.0,round,
272,"Henry, Joseph",Viola Bow,Paris,,2024-03-22,,30255.0,24000.0,27974.0,gbp,121696,71.8,73.3,0,1.0,69.0,round,71.8,73.3,0,1.0,69.0,round,
272,"Henry, Joseph",Cello Bow,,,2023-11-17,,41300.0,33256.0,37995.0,usd,117847,68.5,70.2,0,1.0,73.5,round,68.5,70.2,0,1.0,73.5,round,
272,"Henry, Joseph",Violin Bow,Paris,Tarisio,2020-07-23,15,45038.0,35400.0,38872.0,gbp,83667,73.0,74.5,0,1.0,60.0,,73.0,74.5,0,1.0,60.0,,
272,"Henry, Joseph",Violin Bow,,Tarisio,2015-06-30,70,23592.0,15000.0,21085.0,gbp,73075,,,0,2.0,54.0,octagonal,,,0,2.0,54.0,octagonal,
