instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,condition,length_of_back,upper_bouts,middle_bouts,lower_bouts,maker_name,authentication_score
10987,555,Violin,1889.0,2006,Tarisio,Bearing the maker's label. | Length of back: 36.3 cm,,,,,36.3,,,,"Poirson, Elophe",3
7381,555,Violin,1897.0,2005,Tarisio,Bearing its original label. | Excellent condition. | Length of back: 35.9 cm,,,,2.0,35.9,,,,"Poirson, Elophe",3
10997,557,Violin,1977.0,2006,Tarisio,Bearing the maker's signed label. | Length of back: 35.8 cm,,,,,35.8,,,,"Poletto, Giovanni Battista",4
98282,559,Viola,1942.0,2022,Tarisio,"Labeled, ""Enrico Politi fece Roma - anno 1942."" Signed to the label. | Length of back: 40.0 cm | Upper bouts: 18.3 cm | Middle bouts: 12.8 cm | Lower bouts: 24.0 cm",,,,,40.0,18.3,12.8,24.0,"Politi, Enrico",4
79027,559,Violin,1942.0,2017,Tarisio,"Labeled, ""Enrico Politi, fece, Roma anno 1942."" Signed to the label. | Length of back: 35.4 cm | Upper bouts: 16.7 cm | Middle bouts: 11.5 cm | Lower bouts: 20.7 cm",,,,,35.4,16.7,11.5,20.7,"Politi, Enrico",4
14560,559,Violin,1935.0,2008 ; 2014,Tarisio ; Tarisio,"Labeled, ""Stefano Scarampella di Brescia, premiato con medaglie D'Argento, fratello ed allievo del Giuseppe, Fece in Mantova anno 1913."" of which it is a copy. | Length of back: 35.7 cm | Upper bouts: 17.0 cm | Middle bouts: 11.6 cm | Lower bouts: 21.0 cm",,,,,35.7,17.0,11.6,21.0,"Politi, Enrico",2
1305,559,Violin,1928.0,2010,Tarisio,"Bearing a signed label, ""Enrico Politi, Roma, anno 1928."" | Length of back: 35.7 cm",,,,,35.7,,,,"Politi, Enrico",4
17445,559,Violin,1928.0,2009,Tarisio,"Labeled, ""Enrico Politi..."" | Length of back: 35.6 cm",,,,,35.6,,,,"Politi, Enrico",3
3885,559,Violin,1912.0,2001 ; 2002 ; 2004,Tarisio ; Tarisio ; Tarisio,"Labeled, ""Politi..."" | Length of back: 35.3 cm",,,,,35.3,,,,"Politi, Enrico",3
1141,559,Violin,1925.0,2000,Tarisio,Bearing an original label. | Very good condition. | Length of back: 35.5 cm,,,,3.0,35.5,,,,"Politi, Enrico",3
54231,560,Violin,1923.0,1993,Sotheby's,"Labeled, ""Augustus Pollastri Raphaelis Fiorini Alumnus fecit Bononiae An. 1923"" and branded internally and externally by the tailpin with the double rooster motif. | Length of back: 35.7 cm","July 1, 1993",Sotheby's,,,35.7,,,,"Pollastri, Augusto",3
54226,560,Violin,1925.0,1989,Sotheby's,"Branded with the maker's insignia internally and by the tailpin and labeled ""Augustus Pollastri, Raphaelis Fiorini alumnus Fecit Bononiae an. 1925."" | Length of back: 35.5 cm","November 22-23, 1989",Sotheby's,,,35.5,,,,"Pollastri, Augusto",4
100534,561,Violin,1956.0,2022,Tarisio,"Labeled, ""Gaetano Pollastri, fece in Bologna, 1956."" | Branded to the inside back and to the lower ribs with the image of two roosters. | Length of back: 35.7 cm | Upper bouts: 16.7 cm | Middle bouts: 11.2 cm | Lower bouts: 20.6 cm",,,,,35.7,16.7,11.2,20.6,"Pollastri, Gaetano",3
55592,561,Violin,1945.0,,,Branded to the lower rib. | Length of back: 35.7 cm,"October 10, 2010",Skinner,,,35.7,,,,"Pollastri, Gaetano",1
54249,561,Violin,1948.0,2009,Sotheby's,"Labeled, ""Gaetano Pollastri fece in Bologna 1948"" and branded with the maker's monogram internally on the back and externally by the endpin. | Length of back: 35.5 cm","March 10, 2009",Sotheby's,,,35.5,,,,"Pollastri, Gaetano",3
54204,561,Violin,1938.0,,,"Labeled, ""Gaetano Pollastri / fece in Bologna / 1938"", bearing the catalogue number I-732, branded internally and at the end pin with the maker's mark. | Length of back: 35.5 cm","October 12, 2007",Christie's,,,35.5,,,,"Pollastri, Gaetano",3
54188,561,Violin,1936.0,2002,Christie's,"Labeled, ""Gaetano Pollastri in Bologna 1936XIV"", also branded internally on the back and externally by the tailpin with the maker's mark. | Length of back: 35.7 cm","March 13, 2002",Christie's,,,35.7,,,,"Pollastri, Gaetano",3
54244,561,Violin,1952.0,1996 ; 1997,Sotheby's ; Sotheby's,"With signature ""Gaetano Pollastri fece in Bologna 1952"" and further labeled with signature of Gaetano Pollastri and freehand date of 1952. | Length of back: 35.7 cm","March 18, 1997; March 19, 1996",Sotheby's; Sotheby's,,,35.7,,,,"Pollastri, Gaetano",4
54242,561,Violin,1952.0,1995,Sotheby's,"Branded internally and by the tailpin with the double rooster motif and labeled ""Gaetano Pollastri fece in Bologna 1952."" | Length of back: 35.7 cm","June 20, 1995",Sotheby's,"""This violin is illustrated in Cesare Magrini Augusto e
Gaetano Pollastri, Liutai in Bologna, pp. 32 & 33, No.
11.""",,35.7,,,,"Pollastri, Gaetano",4
54200,561,Violin,1910.0,,,"Labeled, ""Pollastri Gaetano fratello ed allievo di Augusto Bologna, 1910."" | Length of back: 35.5 cm","June 21, 1994",Bonhams,,,35.5,,,,"Pollastri, Gaetano",3
54217,561,Cello,1932.0,,,"Labeled, ""POLLASTRI GAETANO, FRATELLO ED ALLIEVO DI AUGUSTO, BOLOGNA 1932"", bearing the maker's mark inside on back and on the bottom bout. | Length of back: 75.2 cm","October 8, 1988",Skinner,,,75.2,,,,"Pollastri, Gaetano",3
54201,561,Violin,1936.0,,,"Labeled, ""Gaetano Pollastri / Bologna / 1936 XIV E. F."" | Length of back: 35.6 cm","November 11, 1986",Christie's,,,35.6,,,,"Pollastri, Gaetano",3
54216,561,Violin,1931.0,1980,Phillip's,"Labeled, ""COSTRUITO EXPRESSAMENTE PER IL SIG COLOUELLO R. CARR-HALL."" | Length of back: 35.7 cm","December 11, 1980",Phillip's,,,35.7,,,,"Pollastri, Gaetano",2
